,v_ego,line_left,line_right,d_target,v_target,act_lon_ego,act_lat_ego,line_left_target,line_right_target,act_lon_target,act_lat_target
0.32,28.038571065359925,1.5689632063171186,-1.3267020487860837,67.872934292399,21.873486440565358,c,fl,4.70875994212369,1.813094687020488,c,fl
0.33,27.977497876757244,1.5993480572456251,-1.3833593643145645,67.53107736893014,21.89394725144924,c,fl,4.635952338460932,1.6532449169007417,c,fl
0.34,27.92199085535969,1.6244918749884008,-1.3136691744993725,67.47193264241626,21.828555541515378,c,fl,4.598063785347029,1.6599027358592557,c,fl
0.35000000000000003,27.88032192324539,1.656837628769058,-1.313930700342356,67.29410570756367,21.808960409913663,c,fl,4.655245871611024,1.6844775424996101,c,fl
0.36,27.943676888587458,1.6953679831488901,-1.2955243253494637,67.25354385190913,21.741807439211307,c,fl,4.560118281372745,1.5692259728743907,c,fl
0.37,28.099711934428402,1.7068873860758367,-1.2928150829254448,66.9137210661615,21.852222922493855,c,fl,4.633679534943586,1.6339770659423047,c,fl
0.38,28.047226611980648,1.6255076505016843,-1.4123140934169318,66.96529563750872,21.824750556828285,c,fl,4.522344407222418,1.4845226633038018,c,fl
0.39,28.077598807309155,1.6355000612448694,-1.361797384630169,66.97254008250472,21.904828773878187,c,fl,4.6101687360781805,1.612871290203142,c,fl
0.4,28.020824202318718,1.6979492142322299,-1.38609120340994,67.10161160497725,21.924325901856452,c,fl,4.772693249672717,1.688652832030547,c,fl
0.41000000000000003,28.018244151320268,1.7100724191327876,-1.4147652655942413,67.0976274851819,21.948791660132123,c,fl,4.700979195313633,1.5761415105866043,c,fl
0.42,27.86046611652277,1.6427518705423563,-1.3374970593120523,67.02925442258822,21.993697285937696,c,fl,4.542595164404212,1.562346234549804,c,fl
0.43,27.928592053982587,1.5356010364704584,-1.2672119559171846,67.10651160472376,22.018967911099438,c,fl,4.401044621369729,1.5982316289820857,c,fl
0.44,27.99130687615408,1.4865814096244383,-1.3428612798050537,66.85265620970674,21.962692446231124,c,fl,4.337826457421309,1.5083837679918164,c,fl
0.45,27.96449600104281,1.5991133467254872,-1.3235739508979163,66.7194736056512,22.031490347154953,c,fl,4.41449354138366,1.4918062437602562,c,fl
0.46,27.93138606052143,1.6130568128389158,-1.3202019723291563,66.64754085440441,22.049405887774594,c,fl,4.318986895948312,1.3857281107802395,c,fl
0.47000000000000003,27.937381877284867,1.6341401953347068,-1.344613464716542,66.53872885387894,21.998452654153326,c,fl,4.394529531297467,1.4157758712462183,c,fl
0.48,27.96998458053054,1.6224223545188377,-1.3362290238987504,66.65691428144045,21.98403218272361,c,fl,4.329503071750246,1.3708516933326576,c,fl
0.49,27.964165429499918,1.5745218374437775,-1.2885794137694657,66.51799884792973,22.019848346771823,c,fl,4.336742712499864,1.4736414612866207,c,fl
0.5,27.932424097414767,1.5870424783708559,-1.3597288655793713,66.50637000903578,21.986512658813687,c,fl,4.370018487051223,1.4232471431009959,c,fl
0.51,27.97255691240619,1.574316437546314,-1.370186911226425,66.37075570929782,22.02141878456156,c,fl,4.441674786390948,1.4971714376182093,c,fl
0.52,27.974856215785184,1.6461419283256864,-1.3680047987778527,66.28255975064312,22.02769138842605,c,fl,4.49269173042007,1.4785450033165306,c,fl
0.53,27.938176581644594,1.6410906458609158,-1.4241878768430438,66.17570243397394,21.984332187755083,c,fl,4.444952969069928,1.3796744463659687,c,fl
0.54,28.006600421552015,1.5637543792371793,-1.4350982679460715,66.05342574929699,21.997859709791445,c,fl,4.4699284114445526,1.4710757642613017,c,fl
0.55,27.975490909003703,1.5532577884139347,-1.429476863286755,66.08608836661648,21.97456860126175,c,fl,4.4080542766962685,1.4253196249955786,c,fl
0.56,27.975642856496886,1.498921098405686,-1.4621675686338502,66.12864193773599,22.00976540752415,c,fl,4.307752781158925,1.3466641141193887,c,fl
0.5700000000000001,27.938998147381476,1.5713691578855775,-1.5183772787728196,66.04448179768238,21.952591920803716,c,fl,4.513626703044208,1.4238802663858112,c,fl
0.58,27.94235779609788,1.603595339335494,-1.3195922801032236,65.98138901907103,21.951281518468885,c,fl,4.362894360570865,1.439706741132148,c,fl
